data:max_stress_yy:value,data:max_vonmises_stress:value,data:p1_stress_yy:value,data:p1_vonmises_stress:value,data:p2_stress_yy:value,data:p2_vonmises_stress:value,data:p3_stress_yy:value,data:p3_vonmises_stress:value,data:p4_stress_yy:value,data:p4_vonmises_stress:value,data:p5_stress_yy:value,data:p5_vonmises_stress:value,data:p6_stress_yy:value,data:p6_vonmises_stress:value,data:p7_stress_yy:value,data:p7_vonmises_stress:value,data:p8_stress_yy:value,data:p8_vonmises_stress:value,data:p9_stress_yy:value,data:p9_vonmises_stress:value
25123.8347,31967.63245,3119.943739,3761.309526,9293.187394,8753.473019,10194.90417,10198.3948,10255.79366,10257.27707,10184.14021,10184.13252,10112.98669,10111.5165,10194.90417,10198.3948,9293.187394,8753.473019,3119.943739,3761.309526
35953.44806,40359.71796,2843.68798,3513.839141,9384.650485,8752.041438,10524.72489,10528.8905,10598.49577,10600.41462,10511.60623,10511.8373,10424.53714,10422.87206,10528.97252,10534.47999,9091.849849,8373.093872,2723.866378,3382.741526
30046.59848,35820.78451,3157.10899,3805.422648,9410.653296,8865.361937,10324.08834,10327.60885,10267.84256,10266.93368,10313.23262,10313.26941,10358.94744,10359.92128,10326.27194,10330.36554,9208.094794,8585.318498,2793.42387,3452.692545
35420.17548,39781.60984,2691.398722,3343.086022,8975.860213,8264.931023,10394.15375,10399.56817,10581.24004,10585.49706,10376.9487,10377.09006,10173.36605,10169.20883,10387.76009,10391.27505,9468.474578,8920.396036,3175.108811,3826.706821
39007.20459,42092.74878,2459.873327,3110.256331,8778.995538,7979.802731,10704.95894,10711.53586,10357.87364,10351.32103,10680.47062,10680.78885,11004.40386,11011.12028,10693.63857,10697.75674,9534.5738,8893.485577,2885.288512,3564.248655
25436.96015,32345.47186,2838.281132,3495.924672,9284.995277,8695.86286,10303.49069,10307.0816,10327.64854,10328.39425,10291.68854,10291.67703,10256.19581,10255.46711,10302.55807,10306.06521,9391.066603,8846.692478,3150.859737,3797.991035
35406.28248,39766.50038,3175.481366,3827.230639,9468.702414,8920.670415,10387.93516,10391.48163,10244.76377,10242.11838,10377.12899,10377.30581,10509.6461,10512.47101,10394.32739,10399.77287,8976.124228,8265.213597,2691.736463,3343.541177
30057.70556,35833.25126,3156.927246,3805.167051,9410.542069,8865.228101,10324.00294,10327.50821,10430.45792,10432.88627,10313.14464,10313.16426,10196.42559,10194.0236,10326.18693,10330.26543,9207.970212,8585.174932,2793.247177,3452.452927
25115.33213,31957.69253,3120.024989,3761.423868,9293.236935,8753.532599,10194.94206,10198.43938,10184.36991,10184.38502,10184.17926,10184.17914,10184.36991,10184.38502,10194.94206,10198.43938,9293.236935,8753.532599,3120.024989,3761.423868
30437.8133,36266.70522,2821.160169,3486.401131,9306.215053,8677.925854,10436.63311,10440.73652,10342.35274,10340.69742,10423.46443,10423.48502,10505.06288,10506.75912,10435.3713,10438.98004,9403.544308,8808.220345,2872.308397,3537.193909
36213.90918,40641.93885,2740.104703,3402.584698,9149.585769,8426.961416,10596.04553,10601.61984,10578.25667,10578.47858,10578.69619,10579.10048,10578.25667,10578.47858,10596.04553,10601.61984,9149.585769,8426.961416,2740.104703,3402.584698
35420.17548,39781.60984,2691.398722,3343.086022,8975.860213,8264.931023,10394.15375,10399.56817,10173.36605,10169.20883,10376.9487,10377.09006,10581.24004,10585.49706,10387.76009,10391.27505,9468.474578,8920.396036,3175.108811,3826.706821
25115.33213,31957.69253,3120.024989,3761.423868,9293.236935,8753.532599,10194.94206,10198.43938,10184.36991,10184.38502,10184.17926,10184.17914,10184.36991,10184.38502,10194.94206,10198.43938,9293.236935,8753.532599,3120.024989,3761.423868
25123.8347,31967.63245,3119.943739,3761.309526,9293.187394,8753.473019,10194.90417,10198.3948,10112.98669,10111.5165,10184.14021,10184.13252,10255.79366,10257.27707,10194.90417,10198.3948,9293.187394,8753.473019,3119.943739,3761.309526
25123.8347,31967.63245,3119.943739,3761.309526,9293.187394,8753.473019,10194.90417,10198.3948,10255.79366,10257.27707,10184.14021,10184.13252,10112.98669,10111.5165,10194.90417,10198.3948,9293.187394,8753.473019,3119.943739,3761.309526
25115.33213,31957.69253,3120.024989,3761.423868,9293.236935,8753.532599,10194.94206,10198.43938,10184.36991,10184.38502,10184.17926,10184.17914,10184.36991,10184.38502,10194.94206,10198.43938,9293.236935,8753.532599,3120.024989,3761.423868
25115.33213,31957.69253,3120.024989,3761.423868,9293.236935,8753.532599,10194.94206,10198.43938,10184.36991,10184.38502,10184.17926,10184.17914,10184.36991,10184.38502,10194.94206,10198.43938,9293.236935,8753.532599,3120.024989,3761.423868
30752.45617,36472.40901,3003.471177,3644.44059,9178.694883,8581.595259,10238.83637,10243.19105,10152.12403,10150.63975,10226.05553,10226.12777,10300.23303,10301.81196,10236.80308,10240.31776,9331.30434,8789.796426,3132.107896,3775.776404
30437.8133,36266.70522,2821.160169,3486.401131,9306.215053,8677.925854,10436.63311,10440.73652,10505.06288,10506.75912,10423.46443,10423.48502,10342.35274,10340.69742,10435.3713,10438.98004,9403.544308,8808.220345,2872.308397,3537.193909
30502.81515,36341.0078,2826.933684,3493.446817,9326.044581,8696.675975,10458.87381,10463.00093,10445.80335,10445.85999,10445.71653,10445.79623,10445.80335,10445.85999,10458.87381,10463.00093,9326.044581,8696.675975,2826.933684,3493.446817
30057.70556,35833.25126,3156.927246,3805.167051,9410.542069,8865.228101,10324.00294,10327.50821,10430.45792,10432.88627,10313.14464,10313.16426,10196.42559,10194.0236,10326.18693,10330.26543,9207.970212,8585.174932,2793.247177,3452.452927
30763.50956,36484.79072,3003.231624,3644.107676,9178.537711,8581.411225,10238.72074,10243.05493,10371.72122,10374.74972,10225.93616,10225.98515,10080.7615,10077.77541,10236.68724,10240.18133,9331.152957,8789.614287,3131.859601,3775.427042
30046.59848,35820.78451,2793.42387,3452.692545,9208.094794,8585.318498,10326.27194,10330.36554,10267.84256,10266.93368,10313.23262,10313.26941,10358.94744,10359.92128,10324.08834,10327.60885,9410.653296,8865.361937,3157.10899,3805.422648
25123.8347,31967.63245,3119.943739,3761.309526,9293.187394,8753.473019,10194.90417,10198.3948,10255.79366,10257.27707,10184.14021,10184.13252,10112.98669,10111.5165,10194.90417,10198.3948,9293.187394,8753.473019,3119.943739,3761.309526
38970.1414,42053.23085,2886.424681,3565.787564,9535.37753,8894.413924,10694.19245,10698.41257,10841.0286,10844.53731,10681.04296,10681.47613,10520.58229,10517.49613,10705.50671,10712.18407,8779.899938,7980.61008,2460.836693,3111.527933
