data:converged,data:max_stress_yy:value,data:max_vonmises_stress:value,data:p1_stress_yy:value,data:p1_vonmises_stress:value,data:p2_stress_yy:value,data:p2_vonmises_stress:value,data:p3_stress_yy:value,data:p3_vonmises_stress:value,data:p4_stress_yy:value,data:p4_vonmises_stress:value,data:p5_stress_yy:value,data:p5_vonmises_stress:value,data:p6_stress_yy:value,data:p6_vonmises_stress:value,data:p7_stress_yy:value,data:p7_vonmises_stress:value,data:p8_stress_yy:value,data:p8_vonmises_stress:value,data:p9_stress_yy:value,data:p9_vonmises_stress:value
True,35420.17547693,39781.609836511,2691.3987221084,3343.0860218311,8975.8602129137,8264.9310225789,10394.153750833,10399.568173759,10173.366051177,10169.208825225,10376.94869541,10377.090059211,10581.240040562,10585.497061169,10387.760094533,10391.275048548,9468.4745783303,8920.3960362387,3175.108811269,3826.706820544
True,30046.598480083,35820.784508844,3157.1089901216,3805.4226481782,9410.6532959768,8865.3619371628,10324.088344511,10327.608852812,10358.947439449,10359.921277523,10313.232620564,10313.269410844,10267.842564881,10266.933678943,10326.271944721,10330.365535958,9208.0947938475,8585.3184984644,2793.423870257,3452.6925445317
True,30752.456167818,36472.409006434,3132.1078957959,3775.7764042005,9331.304339599,8789.7964255113,10236.8030823,10240.317757276,10300.233025395,10301.811960235,10226.055532927,10226.127765398,10152.124029668,10150.639750106,10238.836369634,10243.191054875,9178.6948829958,8581.5952587615,3003.4711768011,3644.4405897737
True,38602.974548272,41667.476043649,2440.3259091921,3085.9762826594,8703.0792672975,7910.4014490261,10611.10548581,10617.626421766,10236.099001012,10228.943481395,10586.834470662,10587.164799789,10939.190311332,10946.486947187,10599.74144267,10604.113532766,9501.1709142158,8886.7195730201,3100.9130256594,3760.3223871296
True,38602.974548273,41667.476043649,3100.9130256598,3760.3223871297,9501.1709142166,8886.7195730204,10599.74144267,10604.113532766,10236.099001012,10228.943481396,10586.834470661,10587.164799789,10939.190311332,10946.486947187,10611.10548581,10617.626421766,8703.0792672968,7910.4014490257,2440.325909192,3085.9762826596
True,25436.960154004,32345.471861423,3150.8597368832,3797.9910347487,9391.0666029792,8846.6924783772,10302.558068789,10306.065211905,10327.648540232,10328.394245605,10291.68854307,10291.677033758,10256.195814414,10255.46711084,10303.49069475,10307.081600855,9284.9952774195,8695.8628596944,2838.2811319313,3495.9246716763
True,35953.448058296,40359.717956954,2723.8663780374,3382.7415259077,9091.8498491093,8373.0938722898,10528.972517919,10534.479989216,10424.537143822,10422.872063103,10511.606232968,10511.837298415,10598.495774066,10600.414615618,10524.724894049,10528.890501057,9384.6504852308,8752.041437814,2843.6879802706,3513.8391409532
True,25115.332129181,31957.69252685,3120.024989016,3761.4238683211,9293.2369350032,8753.5325985864,10194.942055027,10198.439380436,10184.369908132,10184.385023732,10184.179258837,10184.17913586,10184.369908132,10184.385023732,10194.942055027,10198.439380436,9293.2369350029,8753.5325985857,3120.0249890164,3761.4238683217
True,25123.834697432,31967.63244843,3119.9437388297,3761.309526033,9293.1873936819,8753.4730194903,10194.904170933,10198.39479833,10112.986691825,10111.516502221,10184.140212811,10184.132520982,10255.793655111,10257.277068053,10194.904170933,10198.39479833,9293.1873936822,8753.47301949,3119.9437388299,3761.3095260335
True,40133.943334313,43278.304448315,2510.0728266074,3172.4739372125,8978.4706634581,8162.2521977428,10952.468509896,10959.073728379,10444.424068396,10434.590368275,10927.704820832,10928.224749012,11414.069773481,11424.036275177,10952.468509896,10959.073728379,8978.4706634574,8162.2521977424,2510.0728266072,3172.4739372128
True,38602.974548273,41667.476043649,3100.9130256597,3760.3223871297,9501.1709142168,8886.7195730206,10599.74144267,10604.113532766,10939.190311332,10946.486947187,10586.834470662,10587.164799789,10236.099001012,10228.943481396,10611.10548581,10617.626421766,8703.0792672969,7910.4014490258,2440.325909192,3085.9762826596
True,25123.834697432,31967.63244843,3119.9437388298,3761.309526033,9293.1873936823,8753.4730194905,10194.904170933,10198.39479833,10255.793655111,10257.277068053,10184.140212811,10184.132520982,10112.986691825,10111.516502221,10194.904170933,10198.39479833,9293.1873936821,8753.47301949,3119.9437388299,3761.3095260334
True,35406.282478927,39766.500377931,2691.736463114,3343.5411771052,8976.1242275862,8265.2135970199,10394.32739089,10399.772868886,10509.646101366,10512.471012455,10377.128988664,10377.305806059,10244.763773565,10242.118379685,10387.935159013,10391.481629782,9468.702414087,8920.6704152004,3175.4813661301,3827.2306391888
True,35420.175476931,39781.609836506,3175.1088112687,3826.7068205436,9468.4745783304,8920.3960362393,10387.760094533,10391.275048548,10173.366051177,10169.208825225,10376.94869541,10377.090059212,10581.240040562,10585.497061169,10394.153750832,10399.568173759,8975.8602129137,8264.9310225787,2691.3987221081,3343.0860218312
True,38766.270544502,40928.668703871,2238.2383200786,2865.0583608468,8336.8429073285,7608.8708868297,10742.680616045,10749.141266364,11071.734094911,11079.395307662,10708.550079954,10709.166267011,10346.209004129,10338.950953164,10719.261158366,10722.834486975,9769.7507224918,9207.447703529,3269.7359778777,3938.8257114936
True,25123.834697432,31967.63244843,3119.9437388297,3761.309526033,9293.1873936819,8753.4730194903,10194.904170933,10198.39479833,10112.986691825,10111.516502221,10184.140212811,10184.132520982,10255.793655111,10257.277068053,10194.904170933,10198.39479833,9293.1873936822,8753.47301949,3119.9437388299,3761.3095260335
True,39007.204590014,42092.748783938,2459.8733268917,3110.2563308766,8778.9955381985,7979.80273109,10704.958937636,10711.535864428,10357.873636678,10351.32103255,10680.470618991,10680.788852037,11004.403855643,11011.120280338,10693.638574332,10697.756736686,9534.5738003182,8893.4855773338,2885.2885119164,3564.2486551524
True,35953.448058297,40359.71795695,2843.6879802708,3513.839140953,9384.6504852316,8752.0414378144,10524.724894049,10528.890501057,10424.537143822,10422.872063103,10511.606232968,10511.837298415,10598.495774066,10600.414615618,10528.972517919,10534.479989216,9091.8498491082,8373.0938722897,2723.8663780369,3382.7415259077
True,35406.282478928,39766.500377927,3175.4813661299,3827.2306391885,9468.7024140874,8920.6704152011,10387.935159013,10391.481629783,10509.646101366,10512.471012455,10377.128988664,10377.305806059,10244.763773565,10242.118379685,10394.32739089,10399.772868886,8976.1242275859,8265.2135970197,2691.7364631137,3343.5411771054
True,35984.658706401,40393.652291006,2842.8777545462,3512.7411177189,9384.0778085152,8751.380773742,10524.331810992,10528.426331197,10761.553504594,10766.728216166,10511.199737377,10511.350323948,10261.932097024,10256.830138136,10528.580811273,10534.017593842,9091.2575916593,8372.4596969256,2723.1108933758,3381.7238999514
True,31155.187126197,36928.403399408,2849.3354721723,3509.3333036092,9323.4894953723,8732.3438330795,10346.318136583,10349.919045128,10444.606107656,10446.903891582,10334.52635515,10334.579246717,10224.902435391,10222.668369304,10347.435413285,10351.801287169,9275.7746775477,8673.4486054768,3032.9675638553,3679.5610598818
True,30046.598480082,35820.784508858,2793.4238702569,3452.6925445315,9208.0947938478,8585.3184984648,10326.271944722,10330.365535958,10267.842564881,10266.933678943,10313.232620565,10313.269410844,10358.947439449,10359.921277523,10324.08834451,10327.608852812,9410.6532959765,8865.3619371621,3157.1089901217,3805.4226481785
True,35953.448058296,40359.717956954,2723.8663780374,3382.7415259078,9091.8498491087,8373.0938722899,10528.972517919,10534.479989216,10598.495774066,10600.414615618,10511.606232968,10511.837298415,10424.537143822,10422.872063104,10524.724894049,10528.890501057,9384.6504852307,8752.0414378139,2843.6879802707,3513.8391409533
True,35953.448058296,40359.717956954,2723.8663780374,3382.7415259078,9091.8498491087,8373.0938722899,10528.972517919,10534.479989216,10598.495774066,10600.414615618,10511.606232968,10511.837298415,10424.537143822,10422.872063104,10524.724894049,10528.890501057,9384.6504852307,8752.0414378139,2843.6879802707,3513.8391409533
True,31247.146020337,37032.350240921,3038.6156746746,3686.2364344928,9295.0209001434,8691.625268663,10369.03049214,10373.380420732,10165.37146622,10161.445871711,10356.125743443,10356.191925494,10547.742488854,10551.701131376,10369.165625106,10373.240429082,9246.1359636554,8621.1725279738,2803.9221118364,3465.4070251581
True,30057.705559792,35833.251263191,2793.2471766113,3452.4529271737,9207.9702122288,8585.1749322122,10326.186932735,10330.265426876,10430.457923502,10432.886271828,10313.144637062,10313.164256318,10196.425587166,10194.023596412,10324.002936728,10327.508208669,9410.5420691674,8865.2281013538,3156.9272455759,3805.1670505615
True,30763.509563454,36484.790722245,3131.8596005737,3775.4270422876,9331.152957348,8789.6142872462,10236.687244498,10240.181329423,10371.721219128,10374.749722396,10225.936162105,10225.985153322,10080.761497625,10077.77541347,10238.720743494,10243.054932259,9178.5377114478,8581.4112248638,3003.2316236929,3644.1076764588
True,30752.456167818,36472.409006434,3132.1078957959,3775.7764042005,9331.304339599,8789.7964255113,10236.8030823,10240.317757276,10300.233025395,10301.811960235,10226.055532927,10226.127765398,10152.124029668,10150.639750106,10238.836369634,10243.191054875,9178.6948829958,8581.5952587615,3003.4711768011,3644.4405897737
True,25123.834697432,31967.63244843,3119.9437388297,3761.309526033,9293.1873936819,8753.4730194903,10194.904170933,10198.39479833,10112.986691825,10111.516502221,10184.140212811,10184.132520982,10255.793655111,10257.277068053,10194.904170933,10198.39479833,9293.1873936822,8753.47301949,3119.9437388299,3761.3095260335
True,35953.448058297,40359.717956949,2843.6879802705,3513.8391409528,9384.650485231,8752.0414378142,10524.724894049,10528.890501057,10598.495774066,10600.414615618,10511.606232968,10511.837298415,10424.537143822,10422.872063103,10528.972517919,10534.479989216,9091.8498491082,8373.0938722897,2723.866378037,3382.7415259078
True,30752.456167818,36472.409006451,3003.4711768015,3644.4405897737,9178.6948829957,8581.5952587616,10238.836369634,10243.191054875,10300.233025395,10301.811960235,10226.055532927,10226.127765398,10152.124029667,10150.639750106,10236.8030823,10240.317757276,9331.3043395982,8789.7964255104,3132.1078957959,3775.7764042007
True,35420.175476931,39781.609836506,3175.1088112687,3826.7068205436,9468.4745783304,8920.3960362393,10387.760094533,10391.275048548,10173.366051177,10169.208825225,10376.94869541,10377.090059212,10581.240040562,10585.497061169,10394.153750832,10399.568173759,8975.8602129137,8264.9310225787,2691.3987221081,3343.0860218312
True,38885.934872034,41964.883779575,2932.5204697122,3610.1864347829,9613.7270075412,9007.498630299,10669.227841261,10672.885256911,10899.244001399,10904.343928203,10657.349297215,10657.685621087,10415.889890792,10411.05478478,10681.809108247,10688.423235619,8760.5265538923,7962.9065048075,2455.5188752261,3104.8892094303
True,25436.960154004,32345.471861423,3150.8597368833,3797.9910347488,9391.06660298,8846.6924783774,10302.558068789,10306.065211905,10256.195814414,10255.46711084,10291.68854307,10291.677033759,10327.648540233,10328.394245605,10303.49069475,10307.081600855,9284.9952774192,8695.8628596943,2838.2811319312,3495.9246716763
True,25115.332129181,31957.69252685,3120.024989016,3761.4238683211,9293.2369350032,8753.5325985864,10194.942055027,10198.439380436,10184.369908132,10184.385023732,10184.179258837,10184.17913586,10184.369908132,10184.385023732,10194.942055027,10198.439380436,9293.2369350029,8753.5325985857,3120.0249890164,3761.4238683217
True,31222.322715556,37004.554572349,3039.1514930884,3686.9806218907,9295.3736894365,8692.0385890745,10369.291204098,10373.687764931,10384.967582213,10385.631323257,10356.394762634,10356.513678365,10327.856476576,10327.344334818,10369.425602094,10373.546823031,9246.5166506863,8621.6113846989,2804.4620953321,3466.1392063464
True,30046.598480083,35820.784508845,3157.1089901216,3805.4226481782,9410.6532959764,8865.3619371626,10324.08834451,10327.608852812,10267.842564881,10266.933678943,10313.232620565,10313.269410844,10358.947439449,10359.921277523,10326.271944722,10330.365535958,9208.0947938476,8585.3184984644,2793.423870257,3452.6925445318
True,38747.825608646,40909.179837994,3270.426701638,3939.7956135107,9770.1727545907,9207.9579012288,10719.587056867,10723.221494911,10417.648621255,10411.930086395,10708.885174622,10709.569488981,10999.889971165,11006.165206653,10742.998692713,10749.518955701,8337.4091303001,7609.2562662767,2238.7497106657,2865.7253936421
True,30763.509563453,36484.790722261,3003.2316236932,3644.1076764587,9178.5377114481,8581.411224864,10238.720743494,10243.054932259,10371.721219127,10374.749722395,10225.936162105,10225.985153322,10080.761497625,10077.77541347,10236.687244498,10240.181329423,9331.1529573471,8789.6142872455,3131.8596005738,3775.4270422879
True,30895.423608733,36634.497851152,3015.24243339,3658.5158591757,9216.6499442309,8617.5482101538,10281.227713027,10285.61725642,10268.385242899,10268.482984685,10268.456845209,10268.617558458,10268.385242899,10268.482984685,10281.227713027,10285.61725642,9216.6499442308,8617.5482101535,3015.2424333895,3658.5158591756
True,25115.332129181,31957.69252685,3120.024989016,3761.4238683211,9293.2369350032,8753.5325985864,10194.942055027,10198.439380436,10184.369908132,10184.385023732,10184.179258837,10184.17913586,10184.369908132,10184.385023732,10194.942055027,10198.439380436,9293.2369350029,8753.5325985857,3120.0249890164,3761.4238683217
True,30752.456167818,36472.409006434,3132.1078957959,3775.7764042005,9331.304339599,8789.7964255113,10236.8030823,10240.317757276,10300.233025395,10301.811960235,10226.055532927,10226.127765398,10152.124029668,10150.639750106,10238.836369634,10243.191054875,9178.6948829958,8581.5952587615,3003.4711768011,3644.4405897737
True,30057.705559793,35833.251263177,3156.9272455758,3805.1670505612,9410.5420691672,8865.2281013545,10324.002936728,10327.508208669,10196.425587166,10194.023596412,10313.144637062,10313.164256319,10430.457923502,10432.886271828,10326.186932735,10330.265426876,9207.9702122283,8585.1749322116,2793.2471766112,3452.452927174
True,25115.332129181,31957.69252685,3120.024989016,3761.4238683211,9293.2369350032,8753.5325985864,10194.942055027,10198.439380436,10184.369908132,10184.385023732,10184.179258837,10184.17913586,10184.369908132,10184.385023732,10194.942055027,10198.439380436,9293.2369350029,8753.5325985857,3120.0249890164,3761.4238683217
True,30057.705559792,35833.251263191,2793.2471766113,3452.4529271737,9207.9702122288,8585.1749322122,10326.186932735,10330.265426876,10430.457923502,10432.886271828,10313.144637062,10313.164256318,10196.425587166,10194.023596412,10324.002936728,10327.508208669,9410.5420691674,8865.2281013538,3156.9272455759,3805.1670505615
True,31247.146020337,37032.350240921,3038.6156746746,3686.2364344928,9295.0209001434,8691.625268663,10369.03049214,10373.380420732,10165.37146622,10161.445871711,10356.125743443,10356.191925494,10547.742488854,10551.701131376,10369.165625106,10373.240429082,9246.1359636554,8621.1725279738,2803.9221118364,3465.4070251581
True,38370.484391739,41422.295716289,3222.6940562654,3883.2167016636,9618.4922647106,9063.3906702196,10552.712449491,10556.298833508,10747.486851608,10751.889519808,10541.906823436,10542.276257409,10336.332260371,10332.256323082,10566.113577623,10572.69967702,8667.1495539442,7877.5396892254,2431.7928919438,3075.4502770478
True,38970.141400366,42053.230845868,2886.4246812488,3565.7875637421,9535.3775297881,8894.4139242318,10694.192451181,10698.412565517,10841.028601744,10844.537305265,10681.042961111,10681.476128749,10520.582292068,10517.496129754,10705.50670916,10712.1840727,8779.8999379458,7980.6100802714,2460.8366927336,3111.527932944
True,38602.974548272,41667.476043649,2440.3259091922,3085.9762826594,8703.0792672975,7910.4014490262,10611.10548581,10617.626421766,10939.190311332,10946.486947187,10586.834470662,10587.164799789,10236.099001012,10228.943481396,10599.74144267,10604.113532766,9501.1709142157,8886.71957302,3100.9130256593,3760.3223871296
True,25436.960154004,32345.471861423,3150.8597368833,3797.9910347488,9391.06660298,8846.6924783774,10302.558068789,10306.065211905,10256.195814414,10255.46711084,10291.68854307,10291.677033759,10327.648540233,10328.394245605,10303.49069475,10307.081600855,9284.9952774192,8695.8628596943,2838.2811319312,3495.9246716763
True,30057.705559792,35833.251263191,2793.2471766113,3452.4529271737,9207.9702122288,8585.1749322122,10326.186932735,10330.265426876,10430.457923502,10432.886271828,10313.144637062,10313.164256318,10196.425587166,10194.023596412,10324.002936728,10327.508208669,9410.5420691674,8865.2281013538,3156.9272455759,3805.1670505615
True,24912.380215247,31833.978405973,2866.6314420266,3530.3096831495,9383.7546705996,8789.461996319,10413.352634566,10416.955843177,10401.682111322,10401.688267459,10401.435143517,10401.416090049,10401.682111322,10401.688267459,10413.352634566,10416.955843177,9383.754670599,8789.4619963183,2866.6314420266,3530.3096831495
True,35953.448058296,40359.717956954,2723.8663780374,3382.7415259078,9091.8498491087,8373.0938722899,10528.972517919,10534.479989216,10598.495774066,10600.414615618,10511.606232968,10511.837298415,10424.537143822,10422.872063104,10524.724894049,10528.890501057,9384.6504852307,8752.0414378139,2843.6879802707,3513.8391409533
True,39332.149541999,42434.893082462,2473.7154015072,3127.3961788406,8834.6939326047,8030.7434995584,10774.216439064,10780.778903222,11161.51557097,11169.988548594,10749.678597966,10750.065486191,10340.125356406,10331.771320974,10767.163197093,10772.621325872,9295.9199567066,8563.2155210349,2778.9511226135,3449.6800111094
True,40953.562147691,44140.011460943,2546.8474758082,3218.0433864008,9124.405022828,8295.7842547975,11133.472185849,11140.118978286,10538.924433562,10527.387299959,11108.584674511,11109.351151667,11682.196348949,11693.941490418,11143.673474607,11150.21171735,8636.6784546765,7880.7298830616,2310.0198847568,2955.2247878717
True,35984.6587064,40393.65229101,2723.1108933762,3381.7238999513,9091.2575916598,8372.459696926,10528.580811273,10534.017593842,10261.932097024,10256.830138136,10511.199737376,10511.350323948,10761.553504594,10766.728216166,10524.331810992,10528.426331197,9384.0778085152,8751.3807737417,2842.877754546,3512.741117719
True,30057.705559793,35833.251263177,3156.9272455758,3805.1670505612,9410.5420691672,8865.2281013545,10324.002936728,10327.508208669,10196.425587166,10194.023596412,10313.144637062,10313.164256319,10430.457923502,10432.886271828,10326.186932735,10330.265426876,9207.9702122283,8585.1749322116,2793.2471766112,3452.452927174
