data:max_stress_xx:value,data:max_stress_yy:value,data:max_vonmises_stress:value,data:p1_stress_xx:value,data:p1_stress_yy:value,data:p1_vonmises_stress:value,data:p2_stress_xx:value,data:p2_stress_yy:value,data:p2_vonmises_stress:value,data:p3_stress_xx:value,data:p3_stress_yy:value,data:p3_vonmises_stress:value,data:p4_stress_xx:value,data:p4_stress_yy:value,data:p4_vonmises_stress:value,data:p5_stress_xx:value,data:p5_stress_yy:value,data:p5_vonmises_stress:value,data:p6_stress_xx:value,data:p6_stress_yy:value,data:p6_vonmises_stress:value,data:p7_stress_xx:value,data:p7_stress_yy:value,data:p7_vonmises_stress:value,data:p8_stress_xx:value,data:p8_stress_yy:value,data:p8_vonmises_stress:value,data:p9_stress_xx:value,data:p9_stress_yy:value,data:p9_vonmises_stress:value
11056.29167,20067.45646,27601.04145,-1073.165065,3181.616656,3854.323589,1317.022065,8900.041061,8280.924621,-5.475134586,9966.591906,9969.335075,-0.055489061,9961.924756,9961.973335,0.033180544,9959.262019,9959.245142,0.052200397,9956.828347,9956.783574,-5.296093182,9966.074257,9968.740008,1277.961779,8961.872267,8353.39343,-878.8199653,3600.948387,4072.402801
11517.96316,21101.56752,28868.95797,-1016.428027,3442.659792,4071.599844,1516.442084,8345.222294,7666.849896,-7.269661967,9618.695032,9621.882087,-0.40368902,9615.845058,9616.194879,-0.153854834,9597.613973,9597.688247,0.345506182,9580.535507,9580.235086,-7.244839662,9618.984029,9622.146414,1527.180218,8329.394372,7648.889913,-1011.598769,3447.238706,4071.405715
10968.19865,19901.49334,27384.85136,-887.8625147,3571.011076,4053.36711,1248.159577,8953.804189,8353.361206,-5.395689095,9917.622059,9920.330488,0.035272008,9908.893666,9908.863541,0.03422746,9910.534536,9910.517031,-0.039956217,9912.450143,9912.485246,-5.842402299,9919.039491,9921.935959,1347.707544,8796.169499,8169.194987,-1052.74811,3175.961819,3830.774305
11168.96431,20107.52423,27643.02186,-1031.499761,3287.228588,3926.223906,1428.122591,8501.499624,7849.60127,-7.153804381,9704.053611,9707.389049,-0.181137632,9696.808451,9696.966261,-0.019559721,9688.53311,9688.541391,0.152739762,9681.058187,9680.926295,-7.165478946,9704.449461,9707.774862,1446.303518,8473.086403,7816.621055,-1023.28218,3292.53161,3923.483031
11006.82676,19720.06215,27208.87681,-1071.229621,3190.66271,3862.414559,1322.741211,8852.153536,8230.697351,-5.782665834,9923.364365,9926.239477,-0.006656684,9915.473875,9915.480116,0.034682477,9915.135979,9915.11821,0.001433367,9915.091188,9915.090415,-5.740595914,9923.226271,9926.08387,1313.23257,8867.105184,8248.177583,-1075.498679,3187.514687,3863.316706
11251.74145,20213.07083,27817.93817,-1026.469337,3334.150142,3966.394045,1466.851664,8513.173248,7850.01144,-7.23633912,9757.076024,9760.463318,0.05411954,9738.958307,9738.912099,-0.00591007,9741.726982,9741.72857,-0.079090122,9745.246369,9745.315716,-7.212467701,9756.752604,9760.140084,1451.474954,8536.673247,7877.317794,-1033.345596,3329.295624,3968.287033
11157.18197,20047.97293,27624.70188,-1067.172322,3258.694098,3926.73135,1365.089683,8775.570263,8140.123977,-6.367118661,9883.055354,9886.177982,0.040205193,9871.09118,9871.056955,0.032814533,9873.004396,9872.987331,-0.049654879,9875.337909,9875.381601,-6.473896395,9883.500726,9886.663968,1391.913449,8734.29169,8091.977881,-1055.182126,3267.829209,3924.359057
11219.93208,20422.89824,28036.94807,-1065.884347,3262.430138,3929.795047,1367.42097,8754.040143,8118.050932,-6.468490126,9862.796263,9865.959849,-0.090115441,9856.623243,9856.702311,0.031544008,9852.377985,9852.361609,0.08032288,9848.568483,9848.499754,-6.432185945,9862.657169,9865.806203,1359.349238,8766.227892,8132.148219,-1069.449755,3259.124821,3929.888066
10727.83685,18998.81193,26283.97634,-1072.017959,3012.927096,3686.951814,1221.069857,9088.468008,8503.682872,-3.966383839,10086.04991,10088.09368,-0.071647795,10085.33857,10085.40099,0.020655358,10081.90507,10081.89472,0.071630478,10078.55116,10078.48941,-3.991145384,10086.10095,10088.1562,1226.926263,9078.980845,8492.431882,-1069.452416,3014.482519,3686.105767
10871.67101,19314.32981,26705.42434,-1072.103145,3126.278068,3799.468298,1285.278363,8912.468366,8303.793924,-5.27766844,9954.908834,9957.5588,-0.034866869,9949.656675,9949.687306,0.032455747,9947.971833,9947.955315,0.031730563,9946.506179,9946.479073,-5.269202778,9954.885777,9957.532016,1283.499239,8915.262593,8307.067413,-1072.886867,3125.678902,3799.609073
10795.57045,19265.27183,26579.85937,-1068.513244,3034.991753,3706.253945,1238.21106,9004.57344,8413.3802,-4.485245808,10018.14196,10020.42812,0.28253071,9999.62368,9999.379068,0.025231424,10012.95881,10012.94609,-0.283601492,10026.42194,10026.66808,-4.502569914,10018.17187,10020.46655,1240.999801,9000.561979,8408.699452,-1067.413144,3036.364763,3706.59186
