time,void_total_density,void_average_radius,frank_total_density,frank_average_radius
0,0,0,0,0
1.00E-12,5.32E-17,1.77E-07,3580.7,3.4872E-07
1.10E-11,9.15E-16,1.77E-07,39387,3.4872E-07
1.11E-10,1.13E-13,1.77E-07,397450,3.4872E-07
1.11E-09,8.20E-11,1.77E-07,3978100,3.4872E-07
1.11E-08,7.94E-08,1.77E-07,39785000,3.4872E-07
1.11E-07,0.000079192,1.77E-07,397850000,3.4872E-07
1.11E-06,0.079138,1.77E-07,3978700000,3.4871E-07
1.11E-05,78.822,1.77E-07,40019000000,3.4815E-07
0.00011111,72981,1.77E-07,5.8789E+11,3.17915E-07
0.0011111,27192000,1.77E-07,1.144E+13,3.0788E-07
0.011111,4942500000,1.77E-07,7.4921E+13,4.40855E-07
0.11111,3.03E+11,1.77E-07,5.0515E+14,5.7235E-07
0.53505,5.94E+12,1.78E-07,2.0344E+15,5.907E-07
1.535,4.09E+13,1.80E-07,5.4519E+15,5.914E-07
2.535,7.92E+13,1.83E-07,8.5303E+15,5.9225E-07
3.535,9.88E+13,1.87E-07,1.1272E+16,5.9455E-07
4.535,1.02E+14,1.91E-07,1.3778E+16,5.9755E-07
5.535,9.76E+13,1.95E-07,1.6139E+16,6.0075E-07
6.535,9.09E+13,1.98E-07,1.8412E+16,6.037E-07
7.535,8.39E+13,2.01E-07,2.0624E+16,6.064E-07
8.535,7.72E+13,2.04E-07,2.2793E+16,6.088E-07
9.535,7.13E+13,2.07E-07,2.4928E+16,6.1095E-07
10.535,6.59E+13,2.10E-07,2.7036E+16,6.1285E-07
11.535,6.12E+13,2.12E-07,2.9121E+16,6.145E-07
12.535,5.70E+13,0.000000215,3.1189E+16,0.000000616
13.535,5.33E+13,2.17E-07,3.324E+16,6.1735E-07
14.535,4.99E+13,2.20E-07,3.5277E+16,6.186E-07
15.535,4.70E+13,2.22E-07,3.7302E+16,6.197E-07
16.535,4.43E+13,2.24E-07,3.9315E+16,6.207E-07
17.535,4.20E+13,2.26E-07,4.1319E+16,6.216E-07
18.535,3.98E+13,2.28E-07,4.3314E+16,6.2245E-07
19.535,3.79E+13,2.30E-07,4.53E+16,6.2325E-07
20.535,3.61E+13,2.32E-07,4.7279E+16,6.2395E-07
21.535,3.45E+13,2.34E-07,4.925E+16,6.246E-07
22.535,3.31E+13,2.36E-07,5.1215E+16,6.252E-07
23.535,3.17E+13,2.38E-07,5.3174E+16,6.258E-07
24.535,3.05E+13,2.40E-07,5.5127E+16,6.2635E-07
25.535,2.94E+13,2.41E-07,5.7074E+16,6.2685E-07
26.535,2.83E+13,2.43E-07,5.9016E+16,6.273E-07
27.535,2.74E+13,2.45E-07,6.0953E+16,6.2775E-07
28.535,2.65E+13,2.46E-07,6.2886E+16,6.2815E-07
29.535,2.56E+13,2.48E-07,6.4814E+16,6.2855E-07
30.535,2.49E+13,2.49E-07,6.6737E+16,6.2895E-07
31.535,2.41E+13,2.51E-07,6.8657E+16,6.293E-07
32.535,2.35E+13,2.52E-07,7.0572E+16,6.296E-07
33.535,2.28E+13,2.54E-07,7.2484E+16,6.2995E-07
34.535,2.22E+13,2.55E-07,7.4392E+16,6.3025E-07
35.535,2.17E+13,2.56E-07,7.6297E+16,6.3055E-07
36.535,2.12E+13,2.58E-07,7.8198E+16,6.308E-07
37.535,2.07E+13,2.59E-07,8.0096E+16,6.3105E-07
38.535,2.02E+13,2.60E-07,8.1991E+16,6.313E-07
