time,density,radius
0,0,0
1.00E-12,1.456E-15,1.77255E-07
1.10E-11,1.6755E-14,1.77255E-07
1.11E-10,2.6375E-13,1.77255E-07
1.11E-09,3.2203E-11,1.77255E-07
1.11E-08,2.3365E-08,1.77255E-07
1.11E-07,0.000022595,1.77255E-07
1.11E-06,0.022234,1.77255E-07
1.11E-05,19.668,1.77255E-07
0.00011111,8681.3,1.77255E-07
0.0011111,918620,1.77255E-07
0.011111,71911000,1.77255E-07
0.11111,3811200000,1.7728E-07
1.0333,1.9553E+11,1.77505E-07
2.0333,3.621E+11,1.77665E-07
3.0333,3.5515E+11,1.7774E-07
4.0333,3.0355E+11,1.77775E-07
5.0333,2.5614E+11,1.77795E-07
6.0333,2.1794E+11,1.77815E-07
7.0333,1.874E+11,1.7783E-07
8.0333,1.6278E+11,1.7785E-07
9.0333,1.427E+11,1.77875E-07
10.033,1.2613E+11,1.779E-07
11.033,1.1232E+11,1.77925E-07
12.033,1.0068E+11,1.77955E-07
13.033,90790000000,1.77985E-07
14.033,82317000000,1.7802E-07
15.033,75002000000,1.78055E-07
16.033,68643000000,1.7809E-07
17.033,63081000000,1.7813E-07
18.033,58187000000,1.7817E-07
19.033,53858000000,1.78215E-07
20.033,50011000000,1.7826E-07
21.033,46574000000,1.78305E-07
22.033,43493000000,1.7835E-07
23.033,40719000000,1.784E-07
24.033,38212000000,1.7845E-07
25.033,35938000000,1.785E-07
26.033,33870000000,1.78555E-07
27.033,31982000000,1.7861E-07
28.033,30255000000,1.78665E-07
29.033,28670000000,1.7872E-07
30.033,27212000000,1.78775E-07
31.033,25867000000,1.78835E-07
32.033,24625000000,1.78895E-07
33.033,23474000000,1.78955E-07
34.033,22405000000,1.79015E-07
35.033,21412000000,1.7908E-07
36.033,20487000000,1.7914E-07
37.033,19623000000,1.79205E-07
38.033,18815000000,1.7927E-07
39.033,18059000000,1.79335E-07
40.033,17351000000,1.79405E-07
41.033,16685000000,1.7947E-07
42.033,16059000000,1.7954E-07
43.033,15469000000,1.7961E-07
44.033,14913000000,1.7968E-07
45.033,14389000000,1.7975E-07
46.033,13893000000,1.79825E-07
47.033,13423000000,1.79895E-07
48.033,12979000000,1.7997E-07
49.033,12557000000,1.80045E-07
50.033,12157000000,1.8012E-07
51.033,11777000000,1.80195E-07
52.033,11416000000,1.8027E-07
53.033,11072000000,1.80345E-07
54.033,10744000000,1.80425E-07
55.033,10432000000,1.80505E-07
56.033,10133000000,1.80585E-07
57.033,9848500000,1.8066E-07
58.033,9576300000,1.80745E-07
59.033,9316000000,1.80825E-07
60.033,9066800000,1.80905E-07
61.033,8828100000,1.8099E-07
62.033,8599400000,1.8107E-07
63.033,8380100000,1.81155E-07
64.033,8169600000,1.8124E-07
65.033,7967400000,1.81325E-07
66.033,7773200000,1.8141E-07
67.033,7586500000,1.81495E-07
68.033,7406900000,1.8158E-07
