time,density,radius
0,0,0
1.00E-12,1.78E-22,4.79E-47
1.10E-11,1.96E-20,5.27E-45
1.11E-10,1.98E-18,5.32E-43
1.11E-09,1.99E-16,5.36E-41
1.11E-08,1.09E-14,2.93E-39
1.11E-07,1.8585E-12,5.03E-37
1.11E-06,9.6961E-10,2.64E-34
1.11E-05,9.0431E-07,2.46E-31
0.00011111,0.00092265,2.51E-28
0.0011111,0.94504,2.56E-25
0.011111,889.97,2.70E-07
0.11111,564030,2.70E-07
1.1111,145860000,2.69E-07
2.1111,363350000,2.70E-07
3.1111,447570000,2.70E-07
4.1111,572370000,2.70E-07
5.1111,705080000,2.70E-07
6.1111,840370000,2.70E-07
7.1111,976810000,2.70E-07
8.1111,1114200000,2.70E-07
9.1111,1251600000,2.70E-07
10.111,1389000000,2.70E-07
11.111,1525800000,2.70E-07
12.111,1662400000,2.70E-07
13.111,1798600000,2.70E-07
14.111,1933600000,2.71E-07
15.111,2067800000,2.71E-07
16.111,2200600000,2.71E-07
17.111,2331800000,2.71E-07
18.111,2461400000,2.71E-07
19.111,2589000000,2.71E-07
20.111,2714900000,2.71E-07
21.111,2838700000,2.71E-07
22.111,2960300000,2.71E-07
23.111,3079600000,2.71E-07
24.111,3196600000,2.71E-07
25.111,3310900000,2.72E-07
26.111,3423000000,2.72E-07
27.111,3532200000,2.72E-07
28.111,3639100000,2.72E-07
29.111,3743400000,2.72E-07
30.111,3844900000,2.72E-07
31.111,3943900000,2.72E-07
32.111,4040000000,2.72E-07
33.111,4133300000,2.72E-07
34.111,4223900000,2.72E-07
35.111,4311700000,2.73E-07
36.111,4397200000,2.73E-07
37.111,4479700000,2.73E-07
38.111,4559300000,2.73E-07
39.111,4636200000,2.73E-07
40.111,4710400000,2.73E-07
41.111,4781900000,2.73E-07
42.111,4850600000,2.73E-07
43.111,4917000000,2.73E-07
44.111,4980800000,2.73E-07
45.111,5042100000,2.74E-07
46.111,5101000000,2.74E-07
47.111,5157500000,2.74E-07
48.111,5211500000,2.74E-07
49.111,5263100000,2.74E-07
50.111,5312400000,2.74E-07
51.111,5359600000,2.74E-07
52.111,5404600000,2.74E-07
53.111,5447500000,2.74E-07
54.111,5488300000,2.74E-07
55.111,5527200000,2.74E-07
56.111,5564100000,2.75E-07
57.111,5599200000,2.75E-07
58.111,5632500000,2.75E-07
59.111,5664100000,2.75E-07
60.111,5694000000,2.75E-07
61.111,5722200000,2.75E-07
62.111,5748900000,2.75E-07
63.111,5774100000,2.75E-07
64.111,5797900000,2.75E-07
65.111,5820200000,2.75E-07
66.111,5841300000,2.75E-07
67.111,5861000000,2.76E-07
68.111,5879600000,2.76E-07
69.111,5896900000,2.76E-07
70.111,5913200000,2.76E-07
71.111,5928400000,2.76E-07
72.111,5942500000,2.76E-07
73.111,5955700000,2.76E-07
74.111,5967900000,2.76E-07
75.111,5979200000,2.76E-07
76.111,5989700000,2.76E-07
77.111,5999300000,2.76E-07
78.111,6008200000,2.76E-07
79.111,6016300000,2.76E-07
80.111,6023600000,2.77E-07
81.111,6030300000,2.77E-07
82.111,6036300000,2.77E-07
83.111,6041700000,2.77E-07
84.111,6046500000,2.77E-07
85.111,6050700000,2.77E-07
86.111,6054300000,2.77E-07
87.111,6057400000,2.77E-07
88.111,6060000000,2.77E-07
89.111,6062100000,2.77E-07
90.111,6063800000,2.77E-07
91.111,6065000000,2.77E-07
92.111,6065700000,2.77E-07
93.111,6066100000,2.78E-07
94.111,6066100000,2.78E-07
95.111,6065700000,2.78E-07
96.111,6065000000,2.78E-07
97.111,6063900000,2.78E-07
98.111,6062500000,2.78E-07
99.111,6060800000,2.78E-07
100.11,6058800000,2.78E-07
101.11,6056500000,2.78E-07
102.11,6054000000,2.78E-07
103.11,6051100000,2.78E-07
104.11,6048000000,2.78E-07
105.11,6044700000,2.78E-07
106.11,6041200000,2.78E-07
107.11,6037400000,2.78E-07
108.11,6033400000,2.79E-07
109.11,6029300000,2.79E-07
110.11,6024900000,2.79E-07
111.11,6020300000,2.79E-07
112.11,6015600000,2.79E-07
113.11,6010700000,2.79E-07
114.11,6005600000,2.79E-07
115.11,6000400000,2.79E-07
116.11,5995000000,2.79E-07
117.11,5989400000,2.79E-07
118.11,5983700000,2.79E-07
119.11,5977900000,2.79E-07
120.11,5972000000,2.79E-07
121.11,5965900000,2.79E-07
122.11,5959700000,2.79E-07
123.11,5953400000,2.79E-07
124.11,5947000000,2.80E-07
125.11,5940500000,2.80E-07
126.11,5933800000,2.80E-07
127.11,5927100000,2.80E-07
128.11,5920300000,2.80E-07
129.11,5913400000,2.80E-07
130.11,5906400000,2.80E-07
131.11,5899300000,2.80E-07
132.11,5892100000,2.80E-07
133.11,5884900000,2.80E-07
134.11,5877500000,2.80E-07
135.11,5870100000,2.80E-07
136.11,5862700000,2.80E-07
137.11,5855100000,2.80E-07
138.11,5847500000,2.80E-07
139.11,5839900000,2.80E-07
140.11,5832100000,2.80E-07
141.11,5824400000,2.81E-07
142.11,5816500000,2.81E-07
143.11,5808600000,2.81E-07
144.11,5800700000,2.81E-07
145.11,5792700000,2.81E-07
146.11,5784700000,2.81E-07
147.11,5776600000,2.81E-07
148.11,5768500000,2.81E-07
149.11,5760300000,2.81E-07
150.11,5752100000,2.81E-07
151.11,5743900000,2.81E-07
152.11,5735600000,2.81E-07
153.11,5727300000,2.81E-07
154.11,5719000000,2.81E-07
155.11,5710600000,2.81E-07
156.11,5702200000,2.81E-07
157.11,5693800000,2.81E-07
158.11,5685400000,2.82E-07
159.11,5676900000,2.82E-07
160.11,5668400000,2.82E-07
161.11,5659900000,2.82E-07
162.11,5651300000,2.82E-07
163.11,5642800000,2.82E-07
164.11,5634200000,2.82E-07
165.11,5625600000,2.82E-07
166.11,5617000000,2.82E-07
167.11,5608300000,2.82E-07
168.11,5599700000,2.82E-07
169.11,5591000000,2.82E-07
170.11,5582400000,2.82E-07
171.11,5573700000,2.82E-07
172.11,5565000000,2.82E-07
173.11,5556300000,2.82E-07
174.11,5547600000,2.82E-07
175.11,5538800000,2.83E-07
176.11,5530100000,2.83E-07
177.11,5521400000,2.83E-07
178.11,5512600000,2.83E-07
179.11,5503900000,2.83E-07
180.11,5495100000,2.83E-07
181.11,5486400000,2.83E-07
182.11,5477600000,2.83E-07
183.11,5468900000,2.83E-07
184.11,5460100000,2.83E-07
185.11,5451400000,2.83E-07
186.11,5442600000,2.83E-07
187.11,5433800000,2.83E-07
188.11,5425100000,2.83E-07
189.11,5416300000,2.83E-07
190.11,5407600000,2.83E-07
191.11,5398800000,2.83E-07
192.11,5390100000,2.84E-07
193.11,5381300000,2.84E-07
194.11,5372600000,2.84E-07
195.11,5363800000,2.84E-07
196.11,5355100000,2.84E-07
197.11,5346400000,2.84E-07
198.11,5337700000,2.84E-07
199.11,5329000000,2.84E-07
200.11,5320200000,2.84E-07
201.11,5311600000,2.84E-07
202.11,5302900000,2.84E-07
203.11,5294200000,2.84E-07
204.11,5285500000,2.84E-07
205.11,5276800000,2.84E-07
206.11,5268200000,2.84E-07
207.11,5259500000,2.84E-07
208.11,5250900000,2.84E-07
209.11,5242300000,2.85E-07
210.11,5233700000,2.85E-07
211.11,5225100000,2.85E-07
212.11,5216500000,2.85E-07
213.11,5207900000,2.85E-07
214.11,5199300000,2.85E-07
215.11,5190800000,2.85E-07
216.11,5182200000,2.85E-07
217.11,5173700000,2.85E-07
218.11,5165200000,2.85E-07
219.11,5156700000,2.85E-07
220.11,5148200000,2.85E-07
221.11,5139700000,2.85E-07
222.11,5131200000,2.85E-07
223.11,5122800000,2.85E-07
224.11,5114400000,2.85E-07
225.11,5105900000,2.85E-07
226.11,5097500000,2.86E-07
227.11,5089200000,2.86E-07
228.11,5080800000,2.86E-07
229.11,5072400000,2.86E-07
230.11,5064100000,2.86E-07
231.11,5055700000,2.86E-07
232.11,5047400000,2.86E-07
233.11,5039100000,2.86E-07
234.11,5030900000,2.86E-07
235.11,5022600000,2.86E-07
236.11,5014300000,2.86E-07
237.11,5006100000,2.86E-07
238.11,4997900000,2.86E-07
239.11,4989700000,2.86E-07
240.11,4981500000,2.86E-07
241.11,4973300000,2.86E-07
242.11,4965200000,2.86E-07
243.11,4957100000,2.87E-07
244.11,4949000000,2.87E-07
245.11,4940900000,2.87E-07
246.11,4932800000,2.87E-07
247.11,4924700000,2.87E-07
248.11,4916700000,2.87E-07
249.11,4908700000,2.87E-07
250.11,4900700000,2.87E-07
251.11,4892700000,2.87E-07
252.11,4884700000,2.87E-07
253.11,4876700000,2.87E-07
254.11,4868800000,2.87E-07
255.11,4860900000,2.87E-07
256.11,4853000000,2.87E-07
257.11,4845100000,2.87E-07
258.11,4837200000,2.87E-07
259.11,4829400000,2.87E-07
260.11,4821600000,2.88E-07
261.11,4813800000,2.88E-07
262.11,4806000000,2.88E-07
263.11,4798200000,2.88E-07
264.11,4790500000,2.88E-07
265.11,4782800000,2.88E-07
266.11,4775100000,2.88E-07
267.11,4767400000,2.88E-07
268.11,4759700000,2.88E-07
269.11,4752100000,2.88E-07
270.11,4744500000,2.88E-07
271.11,4736900000,2.88E-07
272.11,4729300000,2.88E-07
